Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Amstelveense Poel (RL);stad&div;116639;478261;AVP001;WEPa;2015;okt;0.76;;;0.00;0.06;0.05;0.09;;0.00;0.14;1.52;0.00;0.00;0.71;0.23;0.00;1.67;1.75;0.00;0.00;0.76;;;;;;;;;;
Amstel voor Uithoorn;stad&div;117001;471590;AMS003;AMU1;2012;juli;0.75;;;1.50;0.08;0.04;0.15;;;0.07;0.63;0.00;;0.00;1.37;0.27;;;0.00;;0.75;;;;;;;;;;
Polder WH Voetangel;agrarisch;124616;476462;PWH002;;2018;okt;0.72;;;1.50;0.00;0.00;0.00;0.61;0.00;0.24;1.95;0.06;0.84;0.10;0.02;0.05;0.05;0.68;0.00;0.00;0.72;;;;;;;;;;
Gooiergracht Eemmeer;RWZI;149422;476662;AW;EEMb;2018;sept;0.71;;;0.00;0.03;0.00;0.03;0.08;0.01;1.75;0.67;0.52;0.13;0.85;0.08;0.25;0.33;2.45;0.00;;0.71;;;;;;;;;;
Lekkanaal;referentie;136190;448809;DW;LEKd;2019;okt;0.71;;;2.75;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.00;0.18;0.04;0.07;0.05;0.02;0.32;0.00;;0.71;;;;;;;;;;
Kostverlorenvaart;riool;119888;487890;ADM072;ADM;2016;okt;0.69;;;1.25;0.02;0.00;0.00;0.60;0.00;0.32;1.67;0.00;;0.00;0.43;0.00;0.38;0.60;0.01;0.00;0.69;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;110726;470068;ZLP001;ZLP7a;2015;okt;0.69;;;1.00;0.02;0.00;0.17;;0.00;0.85;1.14;0.00;;0.00;0.24;0.16;0.66;0.71;0.00;0.00;0.69;;;;;;;;;;
Amstel Amstelveen;RWZI;122096;480538;AW;AMAa;2014;mei;0.68;;;0.00;0.02;0.02;0.05;;0.00;0.47;4.43;0.04;;0.16;;0.00;0.11;;0.00;;0.68;;;;;;;;;;
Vecht bij Slijk;vuile bodem;129991;462872;VEC016;VES;2016;okt;0.68;;;1.00;0.02;0.00;0.00;0.18;0.00;1.14;1.33;0.14;;0.31;0.52;0.00;0.49;0.31;0.00;0.00;0.68;;;;;;;;;;
Gemaal Buitenwester;agrarisch;112022;470068;WOB004;WOBa;2015;okt;0.66;;;0.00;0.07;0.00;0.19;;0.00;0.46;0.60;0.00;;0.11;0.14;0.00;1.59;2.53;0.00;0.00;0.66;;;;;;;;;;
