fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
2517;Caenomorphidae;Caenomorphidae;1-1-1981;;;;;2-11-2009;Caenomorphidae;F. Poche, 1913;;;CANO;CILIO;;Armophorida;;;;;;;Familia;;;;;10;;;;;;;;ZOOPT
2518;Cakile;Cakile;1-1-1981;;;;1;25-11-2008;Cakile;P. Miller 1754;;;CAKI;ANGIO;;Brassicaceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
2519;Cakile maritima;Cakile maritima;1-1-1981;;;;1;25-11-2008;Cakile;J.A. Scopoli 1772;;;CAKIMARI;ANGIO;;Cakile;;;;0;0;;Species;;;;Zeeraket;10;;;;1;0;0;;MACFT
2520;Calamagrostis;Calamagrostis;1-1-1981;;;;1;25-11-2008;Calamagrostis;M. Adanson 1763;;;CALA;ANGIO;;Poaceae;;;;0;1;;Genus;;;;;10;;;;0;0;0;;MACFT
2521;Calamagrostis canescens;Calamagrostis canescens;1-1-1981;;;;1;25-11-2008;Calamagrostis;(G.H. Weber) A.W. Roth 1788;;;CALACANE;ANGIO;;Calamagrostis;;;;0;0;;Species;;;;Hennegras;10;;;;0;0;0;;MACFT
2522;Calamagrostis epigejos;Calamagrostis epigejos;1-1-1981;;;;1;25-11-2008;Calamagrostis;(C. Linnaeus) A.W. Roth 1788;;;CALAEPIE;ANGIO;;Calamagrostis;;;;0;0;;Species;;;;Duinriet;10;;;;1;0;0;;MACFT
2523;Calamagrostis pseudophragmites;Calamagrostis pseudophragmites;1-1-1981;;;;1;21-5-2019 12:25;Calamagrostis;(A. Von Haller f.) G.L. Koeler 1802;;;CALAPSEU;ANGIO;;Calamagrostis;;;;0;0;;Species;;;;Rivierstruisriet;10;;;;0;0;0;;MACFT
2524;Calamagrostis stricta;Calamagrostis stricta;1-1-1981;;;;1;25-11-2008;Calamagrostis;(J.C. Timm) G.L. Koeler 1802;;;CALASTRI;ANGIO;;Calamagrostis;;;;0;1;;Species;;;;Stijf struisriet;10;;;;0;0;0;;MACFT
2525;Calandrella;Calandrella;1-1-1981;;;;;25-11-2008;Calandrella;Kaup, 1829;;;CALA;;;Alaudidae;;;;;;;Genus;;;;;10;;;;;;;;VOGLS
2526;Calandrella brachydactyla;Calandrella brachydactyla;1-1-1981;;;;;25-11-2008;Calandrella;(Leisler, 1814);;;CALABRAC;;;Calandrella;;;;;;;Species;;;;Kortteenleeuwerik;10;;;;;;;;VOGLS
