GeoObject.code;HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022;brondoel_2022;Doel_2022_v2;brondoel_2022_v2
NL11_1_2;NL11_Vecht;Macrofauna-kwaliteit ;3000-EAG-4;Vechtboezem, Vecht van Maarssen tot Utrecht;0.6;KRW_2021;;0.61;KRW_2027;0.61;KRW_2027
NL11_1_2;NL11_Vecht;Vis-kwaliteit ;3000-EAG-2;Vechtboezem, Vecht van Muiden tot Nigtevecht;0.6;KRW_2021;;0.8;KRW_2027;0.8;KRW_2027
NL11_1_2;NL11_Vecht;Vis-kwaliteit ;3000-EAG-3;Vechtboezem, Vecht van Nigtevecht tot Maarssen;0.6;KRW_2021;;0.8;KRW_2027;0.8;KRW_2027
NL11_1_2;NL11_Vecht;Vis-kwaliteit ;3000-EAG-4;Vechtboezem, Vecht van Maarssen tot Utrecht;0.6;KRW_2021;;0.8;KRW_2027;0.8;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Overige waterflora-kwaliteit;1000-EAG-1;BzmADM,O;0.6;KRW_2021;;0.2;KRW_2027;0.2;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Fytoplankton-kwaliteit  ;1000-EAG-1;BzmADM,O;0.6;KRW_2021;;0.78;KRW_2027;0.78;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Macrofauna-kwaliteit ;1000-EAG-1;BzmADM,O;0.6;KRW_2021;;0.36;KRW_2027;0.36;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Overige waterflora-kwaliteit;1000-EAG-2;BzmADM,O;0.6;KRW_2021;;0.2;KRW_2027;0.2;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Fytoplankton-kwaliteit  ;1000-EAG-2;BzmADM,O;0.6;KRW_2021;;0.78;KRW_2027;0.78;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Macrofauna-kwaliteit ;1000-EAG-2;BzmADM,O;0.6;KRW_2021;;0.36;KRW_2027;0.36;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Overige waterflora-kwaliteit;1000-EAG-4;BzmADM,O;0.6;KRW_2021;;0.2;KRW_2027;0.2;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Fytoplankton-kwaliteit  ;1000-EAG-4;BzmADM,O;0.6;KRW_2021;;0.78;KRW_2027;0.78;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Macrofauna-kwaliteit ;1000-EAG-4;BzmADM,O;0.6;KRW_2021;;0.36;KRW_2027;0.36;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Vis-kwaliteit ;1000-EAG-1;BzmADM,O;0.6;KRW_2021;;0.41;KRW_2027;0.41;KRW_2027
NL11_2_1;NL11_VaartenAmsterdam;Vis-kwaliteit ;1000-EAG-2;BzmADM,O;0.6;KRW_2021;;0.41;KRW_2027;0.41;KRW_2027
