"EAG";"jaar";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"GAFNAAM";"KRW_SGBP3";"KRWmonitoringslocatie_SGBP3";"SGBP3_NAAM"
"2503-EAG-1";2019;0;0;0;0;13;68;3;16;5;3;0;3;3;29;74;3;61;"Polder Wilnis-Veldzijde, Polder Wilnis-Veldzijde";"";"";""
"2504-EAG-1";2019;0;0;0;0;2;92;4;2;38;4;2;4;51;35;10;4;0;"Polder deTweede Bedijking, Polder deTweede Bedijking";"";"";""
"2505-EAG-1";2019;0;2;0;0;0;96;0;2;12;0;0;4;18;5;59;13;21;"Veldhuiswetering, Veldhuisweg";"";"";""
"2506-EAG-1";2019;50;0;0;25;0;0;25;0;0;0;0;25;0;50;50;0;50;"Eilinzon, Eilinzon";"";"";""
"2510-EAG-1";2019;0;5;0;0;1;94;0;1;11;1;1;4;9;11;63;1;19;"Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Heicop & Geer";"NL11_2_11";"NL11_GrootWilnisVinkev";"Groot Wilnis-Vinkeveen Zuid"
"2510-EAG-2";2019;0;0;0;0;0;25;0;75;0;0;0;25;0;25;100;0;50;"Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Armenland";"";"";""
"2510-EAG-3";2019;0;0;0;0;4;89;0;7;20;1;3;4;14;7;56;1;21;"Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Bovenland";"NL11_2_11";"NL11_GrootWilnisVinkev";"Groot Wilnis-Vinkeveen Zuid"
"2511-EAG-1";2019;12;0;0;0;12;75;0;0;12;0;0;12;12;0;75;0;25;"Hoogwaterzone Amstelkade P1, Hoogwaterzone Amstelkade P1";"";"";""
"2512-EAG-1";2016;0;0;0;0;0;100;0;0;50;25;0;0;25;75;0;0;0;"Hoogwaterzone Amstelkade P2, Hoogwaterzone Amstelkade P2";"";"";""
"2520-EAG-1";2017;0;6;0;0;6;68;2;17;11;9;0;11;42;31;22;2;6;"Polder de Derde Bedijking, landelijk";"";"";""
"2520-EAG-2";2017;40;40;10;0;0;10;0;0;0;10;0;10;30;30;30;20;10;"Polder de Derde Bedijking, stedelijk";"";"";""
"2520-EAG-4";2017;0;0;0;0;14;57;0;29;14;29;0;29;43;29;29;0;0;"Polder de Derde Bedijking, kassen";"";"";""
"2530-EAG-1";2019;0;0;0;0;7;88;2;4;14;6;3;11;38;34;14;5;3;"Polder de Eerste Bedijking (west), west";"";"";""
"2530-EAG-2";2019;24;4;0;0;4;63;0;4;15;11;2;4;41;35;20;11;4;"Polder de Eerste Bedijking (west), oost";"";"";""
"2540-EAG-1";2019;0;0;0;0;10;63;8;20;3;1;1;22;8;21;57;4;32;"Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), landelijk";"NL11_2_7";"NL11_VaartenGrootMijdr";"Vaarten Groot Mijdrecht"
"2540-EAG-2";2019;0;0;0;0;33;67;0;0;0;0;0;92;0;0;8;0;8;"Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), natuurreservaat";"";"";""
"2540-EAG-3";2019;0;0;0;0;0;95;0;5;25;0;0;0;31;25;31;0;12;"Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Botshol West";"";"";""
"2540-EAG-4";2019;13;20;7;0;0;27;20;13;0;0;0;0;27;27;60;0;20;"Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), stedelijk";"";"";""
"2540-EAG-5";2019;0;17;0;17;0;17;33;17;17;0;0;50;0;17;33;0;33;"Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Veldweg";"";"";""
"2550-EAG-1";2019;2;0;0;0;53;39;0;6;0;0;2;69;8;2;24;5;15;"Noorderpolder of Botshol (zuid en west), Botshol Kleine- en Groote Wije";"NL11_7_1";"NL11_Botshol";"Botshol"
"2550-EAG-2";2019;0;0;0;0;27;60;0;13;13;0;20;41;6;20;32;5;21;"Noorderpolder of Botshol (zuid en west), Botshol Midden";"NL11_7_1";"NL11_Botshol";"Botshol"
"2550-EAG-4";2019;0;0;0;0;18;38;1;43;3;0;7;35;10;1;53;6;28;"Noorderpolder of Botshol (zuid en west), Noorderpolder (oost)";"";"";""
"2550-EAG-5";2018;0;0;0;0;2;90;0;8;38;6;0;0;25;41;12;3;3;"Noorderpolder of Botshol (zuid en west), Noorderpolder (west)";"";"";""
"2560-EAG-1";2019;0;0;0;0;0;100;0;0;36;5;5;0;45;14;18;9;14;"Noorderpolder of Botshol (Nellestein), agrarisch";"";"";""
"2560-EAG-2";2019;0;0;0;0;4;93;0;4;4;4;0;8;4;17;71;0;12;"Noorderpolder of Botshol (Nellestein), natuurgebied";"";"";""
"2570-EAG-1";2018;0;1;0;0;0;99;0;0;23;25;9;6;43;47;6;18;0;"Baambrugge Westzijds, polder";"";"";""
"2570-EAG-2";2018;0;0;0;0;0;100;0;0;12;0;0;24;12;12;47;0;47;"Baambrugge Westzijds, Schrobberpolder";"";"";""
