HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022
NL11_OvWa_2300-EAG-1_Overdiem;Overige waterflora-kwaliteit ;2300-EAG-1;OverdiemerP;0.475;handelingsperspectief_score2008-2014;0.075;
OvWa_2310-EAG-1_Gemeensc;Overige waterflora-kwaliteit ;2310-EAG-1;GMsPW,lnd;0.23675;handelingsperspectief_score2008-2014;0.05;
NL11_OvWa_2310-EAG-1_Gemeensc;Overige waterflora-kwaliteit ;2310-EAG-1;GMsPW,lnd;0.408653846;handelingsperspectief_score2008-2014;0.05;
OvWa_2310-EAG-2_Gemeensc;Overige waterflora-kwaliteit ;2310-EAG-2;GMsPW,Driemond;0.156;handelingsperspectief_score2015-2017;0.05;
NL11_OvWa_2310-EAG-2_Gemeensc;Overige waterflora-kwaliteit ;2310-EAG-2;GMsPW,Driemond;0.156;handelingsperspectief_score2015-2017;0.05;
OvWa_2330-EAG-1_Baambrug;Overige waterflora-kwaliteit ;2330-EAG-1;BmbrgOzijdsW;0.4805;handelingsperspectief_score2008-2014;0.12;
NL11_OvWa_2330-EAG-1_Baambrug;Overige waterflora-kwaliteit ;2330-EAG-1;BmbrgOzijdsW;0.478083333;handelingsperspectief_score2008-2014;0.12;
OvWa_2340-EAG-1_Polder_H;Overige waterflora-kwaliteit ;2340-EAG-1;PHSVW,bemal;0.672666667;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2340-EAG-1_Polder_H;Overige waterflora-kwaliteit ;2340-EAG-1;PHSVW,bemal;0.668468085;handelingsperspectief_score2008-2014;0.14;
OvWa_2340-EAG-2_Polder_H;Overige waterflora-kwaliteit ;2340-EAG-2;PHSVW,Lnrslt;0.672;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2340-EAG-2_Polder_H;Overige waterflora-kwaliteit ;2340-EAG-2;PHSVW,Lnrslt;0.6715;handelingsperspectief_score2008-2014;0.14;
OvWa_2350-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2350-EAG-1;VserPvlktn;;;;
NL11_OvWa_2350-EAG-1_Venserpo;Overige waterflora-kwaliteit ;2350-EAG-1;VserPvlktn;;;;
OvWa_2370-EAG-1_Gemeensc;Overige waterflora-kwaliteit ;2370-EAG-1;GmsPWBetlem;;;;
NL11_OvWa_2370-EAG-1_Gemeensc;Overige waterflora-kwaliteit ;2370-EAG-1;GmsPWBetlem;;;;
NL11_OvWa_2380-EAG-1_Honderds;Overige waterflora-kwaliteit ;2380-EAG-1;;;;;
NL11_2380-EAG-1_Honderds;Overige waterflora-kwaliteit ;2380-EAG-1;;;;;
OvWa_2380-EAG-1_Honderds;Overige waterflora-kwaliteit ;2380-EAG-1;;;;;
OvWa_2400-EAG-1_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-1;PdeRndHp,bmlgbd;0.4135;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-1_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-1;PdeRndHp,bmlgbd;0.442041667;handelingsperspectief_score2008-2014;0.14;
OvWa_2400-EAG-2_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-2;PdeRndHp,ZW;0.415666667;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-2_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-2;PdeRndHp,ZW;0.467935484;handelingsperspectief_score2008-2014;0.14;
OvWa_2400-EAG-3_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-3;PdeRndHp,NW;0.3754;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-3_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-3;PdeRndHp,NW;0.449619048;handelingsperspectief_score2008-2014;0.14;
OvWa_2400-EAG-4_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-4;PdeRndHp,NO;0.477;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-4_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-4;PdeRndHp,NO;0.477;handelingsperspectief_score2008-2014;0.14;
OvWa_2400-EAG-5_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-5;PdeRndHp,wdvglGb;0.4425;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-5_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-5;PdeRndHp,wdvglGb;0.446714286;handelingsperspectief_score2008-2014;0.14;
OvWa_2400-EAG-6_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-6;PdeRndHp,OukrkAms;0.351;handelingsperspectief_score2008-2014;0.14;
NL11_OvWa_2400-EAG-6_Polder_d;Overige waterflora-kwaliteit ;2400-EAG-6;PdeRndHp,OukrkAms;0.351;handelingsperspectief_score2008-2014;0.14;
NL11_VaartenRondeHoep;Fytoplankton-kwaliteit  ;2400-EAG-9;;0.6;KRW_2016;;
NL11_VaartenRondeHoep;Macrofauna-kwaliteit ;2400-EAG-9;;0.6;KRW_2016;;
NL11_VaartenRondeHoep;Overige waterflora-kwaliteit ;2400-EAG-9;;0.6;KRW_2016;;
OvWa_2410-EAG-1_Polder_W;Overige waterflora-kwaliteit ;2410-EAG-1;HDRTerP;0.5045;handelingsperspectief_score2008-2014;0.1595;
NL11_OvWa_2410-EAG-1_Polder_W;Overige waterflora-kwaliteit ;2410-EAG-1;HDRTerP;0.504742857;handelingsperspectief_score2008-2014;0.1595;
OvWa_2410-EAG-2_Polder_W;Overige waterflora-kwaliteit ;2410-EAG-2;PWrdHDRT,stdlijkNd;0.5055;handelingsperspectief_score2008-2014;0.1595;
NL11_OvWa_2410-EAG-2_Polder_W;Overige waterflora-kwaliteit ;2410-EAG-2;PWrdHDRT,stdlijkNd;0.5055;handelingsperspectief_score2008-2014;0.1595;
OvWa_2410-EAG-3_Polder_W;Overige waterflora-kwaliteit ;2410-EAG-3;PWrdHDRT,stdlijkZ;0.4975;handelingsperspectief_score2008-2014;0.1595;
