locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
3300-EAG-8;3300;2013-09-03;2013;;;5.9275;14724.3333333333;1975;32.5;49;11.75;0;0;-10;-10;;;;;5.1;0.4675;535.833333333333;;;;;;17850;2.33333333333333;2.33333333333333;1570.83333333333;19.4;;;133832.666666667;133832.666666667;469358.672;469358.672
3300-EAG-9;3300;2013-09-14;2013;;;6.38466666666667;1820.83333333333;200;143.333333333333;82.6666666666667;25.1333333333333;0;0;-10;-10;;;;;0.2;0.53;63.1666666666667;;;;;;2666.66666666667;1.22;1.22;678.333333333333;16.2;;;135191.333333333;135191.333333333;469369.333333333;469369.333333333
3302-EAG-1;3302;2013-09-12;2013;;;6.33875;24516.25;3800;20500;77.5;20.35;0;0;-10;-10;85.726;85.726;;;1.4;0.74;235;;;;;;4100;0.2675;0.2675;707.5;18.2;;;136392.496;136392.496;465437.008;465437.008
3302-EAG-1;3302;2016-05-30;2016;11280;;1.224;9000;2840;24800;84.2;28.74;;;;;;;1.111;;0.74;0.63;228;;;0.0112;;2.5;2540;;;890;;;;;;;
3302-EAG-1;3302;2016-06-02;2016;8457.14285714286;;1.13657142857143;7428.57142857143;1371.42857142857;7514.28571428571;77.7142857142857;19.3857142857143;;;;;;;2.95714285714286;;0.914285714285714;0.201428571428571;170;;;0.0451428571428571;;2.5;5257.14285714286;;;962.857142857143;;;;;;;
3302-EAG-1;3302;2016-06-07;2016;10050;;1.189;17500;5000;20000;81.5;24.2;;;;;;;2.8;;0.8;0.805;230;;;0.087;;2.5;1300;;;370;;;;;;;
3302-EAG-1;3302;2017-06-08;2017;9866.66666666667;;1.24666666666667;8666.66666666667;3366.66666666667;9833.33333333333;79.3333333333333;30.4;;;;;;;2.63333333333333;;0.4;0.321666666666667;163.333333333333;;;0.0666666666666667;;2.5;4586.66666666667;;;1396.66666666667;15.3666666666667;;;;;;
3302-EAG-2;3302;2013-09-12;2013;;;7.6;4588;1925;5700;92.5;40.3;0;0;-10;-10;;;;;0.2;0.89;102.75;;;;;;870;0.4125;0.4125;370;18.05;;;136070.496;136070.496;465520.992;465520.992
3302-EAG-2;3302;2016-06-07;2016;13166.6666666667;;1.088;11666.6666666667;1600;4833.33333333333;66;16.3;;;;;;;0.89;;0.266666666666667;0.0766666666666667;51.6666666666667;;;0.0853333333333333;;2.5;3400;;;480;;;;;;;
3320-EAG-1;3320;2013-09-27;2013;;;6.505;10940;2750;7100;87;24.7;0;0;-10;-10;;;;;0.6;1.4;145;;;;;;7700;0.8;0.8;1950;15.4;;;130966;130966;469472;469472
