fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
FLUOBIOV;0.706331699346405;0.157107843137255;0.633333333333333;0.2625;0.245833333333333;;;0.195499419279907;0.414311594202899;0.392708333333333;1.95555555555556;0.214351851851852;0.857291666666667;0.113194444444444;;;;;;0.566666666666667;11.2833333333333;;;;;0.025;0.025;;;2.25625;39.2809523809524;;9;;;1.1;0.025;0.1225;0.025;;0.025;0.025;0.025;0.607275339602926;0.025;0.025;0.025;;0.6;0.025;0.025;0.9;;4.51041666666667;0.025;0.025;0.025;0.025;1.87395833333333;3.27916666666667;0.19375;;0.06875;2.5625;0.290625;2.45;0.166666666666667;0.0722222222222222;0.0546451914098973;0.927272727272727;0.191666666666667;0.283333333333333;2.46041666666667;1.76458333333333;0.1;2.61458333333333;0.275;0.303125;;0.235416666666667;0.229166666666667;0.245833333333333;0.225;3.1375;0.354166666666667;0.116666666666667;0.456770833333333;0.3375;0.3125;0.172916666666667;1.58333333333333;0.459722222222222;0.26712962962963;;;1.09;0.025;0.025;;1.21666666666667;1.1;1.08333333333333;14.6833333333333;3.75;;2.6375;0.433333333333333;0.04;;;;0.025;0.025;0.836111111111111;0.025;1.45277777777778;1.74444444444444;0.547222222222222;17.3340277777778;0.519444444444444;0.32;0.133333333333333;2.09166666666667;0.808333333333333;0.193055555555556;3.31493386243386;0.0375;0.458333333333333;0.217361111111111;0.639583333333333;0.5;0.116666666666667;0.025;;;0.313194444444444;0.410277777777778;3.65814814814815;0.320833333333333;2.35833333333333;0.422916666666667;0.025;0.3;0.0916666666666667;4.52133903133903;1.36805555555556;1.1125;0.122916666666667;4.4;3.64166666666667;3.46111111111111;0.498611111111111;0.977777777777778;4.88674463937622;3.65208333333333;;0.114351851851852;0.0722222222222222;0.03125;0.1;0.025;0.2;0.3;1.215625;1.77569444444444;1.1875;1.4;4.46082516339869;0.35;0.116666666666667;1.00208333333333;0.025;0.723611111111111;0.133455284552846;1.90972222222222;7.27222222222222;8.08333333333333;0.816666666666667;4.16666666666667;0.104378019323671;0.025;0.025;;0.025;0.1;0.5625;0.025;0.025;0.1125;0.025;0.025;0.9;0.025;0.9;0.025;5.75;0.8;4.7;0.183333333333333;0.025;0.025;;0.025;0.116666666666667;0.5625;0.05;0.104166666666667;0.208333333333333;0.025;0.025;0.86875;0.025;5.89722222222222;0.0625;2.55416666666667;0.0708333333333333;0.241666666666667;0.3125;0.1;0.1;;;0.245833333333333;;0.5225;0.152083333333333;0.404166666666667;;;;0.025;1.85;;0.520833333333333;1.2875;0.191666666666667;1.10416666666667;0.2;;;0.4;1.7375;0.216203703703704;0.166666666666667;0.113888888888889;1.08333333333333;0.383333333333333;0.025;0.375;;0.1;;;;;0.025;0.6;0.025;;0.7;0.025;0.15;0.5625;0.5;0.025;0.025;0.025;0.025;2.25473588342441;0.453472222222222;0.025;0.025;0.025;;;;
FLUOBLAU;2.33541666666667;0.492401960784314;2.08333333333333;0.7625;0.754166666666667;;;0.651030778164924;1.40072463768116;1.265625;6.54027777777778;0.791898148148148;2.88125;0.384027777777778;;;;;;1.81666666666667;37.7833333333333;;;;;0.125;0.125;;;7.47083333333333;130.119047619048;;30.1375;;;3.8;0.125;0.355833333333333;0.125;;0.125;0.125;0.125;2.01396290491118;0.125;0.125;0.125;;2;0.125;0.125;2.9;;15.11875;0.125;0.125;0.125;0.125;6.26145833333333;11.0458333333333;0.647916666666667;;0.271130952380952;8.6375;0.975;8.23472222222222;0.5375;0.231944444444444;0.176704014939309;3.13181818181818;0.579166666666667;0.955555555555556;8.20416666666667;5.875;0.333333333333333;8.74837962962963;0.9125;1.02604166666667;;0.795833333333333;0.783333333333333;0.845833333333333;0.766666666666667;10.4541666666667;1.1375;0.433333333333333;1.50104166666667;1.1375;1.04583333333333;0.583333333333333;5.28333333333333;1.45694444444444;0.880555555555556;;;3.61;0.125;0.125;;4.13333333333333;3.71666666666667;3.66666666666667;49.1333333333333;12.7166666666667;;8.75833333333333;1.37083333333333;0.125;;;;0.125;0.125;2.78055555555556;0.125;4.83055555555556;5.80555555555556;1.84166666666667;58.4694444444444;1.76527777777778;0.95;0.283333333333333;6.94583333333333;2.675;0.643055555555556;11.0774206349206;0.125;1.53055555555556;0.7125;2.13333333333333;1.8;0.383333333333333;0.125;;;1.04328703703704;1.38111111111111;12.1336111111111;1.05;7.89583333333333;1.47291666666667;0.125;0.9;0.220833333333333;15.0724857549858;4.59236111111111;3.66944444444444;0.35625;14.6166666666667;12.1402777777778;11.4888888888889;1.68888888888889;3.27222222222222;16.4337231968811;12.3020833333333;;0.392592592592593;0.211111111111111;0.125;0.5;0.125;0.5;1;4.04270833333333;5.79652777777778;3.9875;4.66041666666667;14.9875408496732;1.18333333333333;0.433333333333333;3.26458333333333;0.125;2.40694444444444;0.45577743902439;6.42222222222222;24.2555555555556;26.8583333333333;2.77083333333333;13.8854166666667;0.314356884057971;0.125;0.125;;0.125;0.125;1.84791666666667;0.125;0.125;0.3125;0.125;0.125;3;0.125;3;0.125;19.25;2.6;15.8;0.683333333333333;0.125;0.125;;0.125;0.4;1.84583333333333;0.125;0.220833333333333;0.65;0.125;0.125;2.88541666666667;0.125;19.4527777777778;0.2625;8.45972222222222;0.254166666666667;0.795833333333333;1.0125;0.125;0.125;;;0.8;;1.74472222222222;0.447916666666667;1.37083333333333;;;;0.125;6.13333333333333;;1.6875;4.37083333333333;0.6625;3.72083333333333;0.6;;;1.39166666666667;5.82083333333333;0.726851851851852;0.588888888888889;0.388888888888889;3.54166666666667;1.27083333333333;0.125;1.30833333333333;;0.125;;;;;0.125;1.93333333333333;0.125;;2.4;0.125;0.4125;1.9125;1.5;0.125;0.125;0.125;0.125;7.53017899677736;1.50277777777778;0.125;0.125;0.125;;;;
FLUOCRYP;1.17254901960784;2.4108660130719;3.97083333333333;5.70833333333333;0.7375;;;6.10180023228804;3.72475845410628;1.278125;8.75509259259259;6.48703703703704;5.46770833333333;2.85902777777778;;;;;;12.6083333333333;7.60416666666667;;;;;2.3;2.3;;;2.18125;22.7139880952381;;8.71875;;;37.7;0.125;0.603611111111111;15.9;;4.8;3.3;125;0.739432035876001;0.125;12;10;;8.4;0.125;0.125;8.2;;3.42708333333333;7.9;3.1;29.7;3.6;4.54583333333333;5.175;1.12291666666667;;2.61130952380952;11.3208333333333;11.0416666666667;4.35833333333333;1.85;0.993055555555555;0.571615312791783;3.77045454545455;2.60416666666667;6.48888888888889;2.97395833333333;2.85833333333333;1.90833333333333;7.63865740740741;3.00416666666667;5.62916666666667;;3.16666666666667;14.9166666666667;4.86666666666667;1.9;5.2;5.21666666666667;7.02083333333333;1.69270833333333;1.18333333333333;19.4833333333333;0.472916666666667;0.884375;3.0375;1.83240740740741;;;4.72;6.4;67.8;;10.7833333333333;1.42083333333333;16.4;13.6041666666667;5.70416666666667;;35.1541666666667;3.61666666666667;5.02;;;;2.2;2.7;1.40138888888889;0.125;1.17777777777778;1.10555555555556;2.65138888888889;2.69930555555556;0.829166666666667;0.825;0.4125;15.3875;2.43125;0.744444444444444;1.38968253968254;0.2375;1.1375;1.07638888888889;4.0875;7.2;3.46666666666667;2.8;;;1.8599537037037;5.68833333333333;2.10953703703704;6.38333333333333;6.48541666666667;2.45520833333333;3;1.7;1.6875;6.66217948717949;4.03055555555556;3.49722222222222;2.42916666666667;6.82777777777778;5.84652777777778;2.45555555555556;1.92916666666667;1.49305555555556;4.59683235867446;1.42708333333333;;4.08657407407407;1.22083333333333;0.3;1.8;9.5;16;4.4;4.075;3.39884259259259;2.20625;0.766666666666667;4.13678513071895;4.22916666666667;2.70833333333333;9.48541666666667;3.6;1.32638888888889;1.24944613821138;2.59583333333333;5.88472222222222;6.71875;27.1590277777778;3.07916666666667;0.977415458937198;2.6;16.6;;0.125;1.3;4.20208333333333;6;0.125;2.25;0.125;0.125;10.9;1.8;7.25;14.95;3.55;11.4;6.8;2.33333333333333;5.7;15;;8.3;1.31666666666667;2.025;0.35;0.7125;0.725;0.125;0.125;4.98333333333333;0.125;2.30972222222222;5.32083333333333;1.95416666666667;0.2375;4.32083333333333;4.4125;0.5;0.85;;;1.175;;0.974444444444444;1.30208333333333;2.71666666666667;;;;5.75;4.10833333333333;;8.7375;1.59583333333333;0.9875;40.4375;3;;;2.75208333333333;4.17083333333333;2.69166666666667;1.45694444444444;3.95972222222222;1.1875;1.45833333333333;3.2;9.30416666666667;;1.2;;;;;6.4;9;3.35;;9.1;0.125;27;3.7;2.6;44.3;1.1125;1.5125;0.7;1.29619821587035;2.94791666666667;16.9;1.1;0.125;;;;
FLUODIAT;3.95245098039216;7.82140522875817;8.99166666666667;4.92083333333333;1.18333333333333;;;11.0777003484321;7.35138888888889;3.67916666666667;12.1138888888889;8.12777777777778;12.9395833333333;19.9402777777778;;;;;;5.27083333333333;20.65;;;;;2.325;25.1;;;21.0833333333333;6.38333333333333;;10.7875;;;128;273;1.98333333333333;51.7;;27.4;26.6;97.6;4.35829414838036;70.5;7;80.1;;15.8;215;38.8;127;;46.075;23.35;28.7;27.5;0.25;24.7083333333333;24.8416666666667;4.34166666666667;;27.4261904761905;32.3166666666667;9.64583333333333;7.29444444444444;1.30277777777778;0.466666666666667;0.917016806722689;23.5136363636364;5.4625;7.625;7.76875;12.5;19.6833333333333;5.82083333333333;2.81666666666667;14.5791666666667;;14.9;12.5666666666667;12.1583333333333;19.8666666666667;17.925;13.6;33.5666666666667;12.7395833333333;0.783333333333333;87.0666666666667;2.14583333333333;10.3291666666667;7.51666666666667;6.00925925925926;;;16.2;14.8;53.2;;25.6166666666667;0.608333333333333;29.6666666666667;37.5833333333333;37.2;;16.2166666666667;5.21666666666667;10;;;;9.9;0.25;2.50277777777778;19.1;2.23611111111111;3.53888888888889;1.04722222222222;20.2819444444444;7.43888888888889;4.8;0.95;18.7833333333333;8.4875;6.75555555555556;1.62632275132275;4.56666666666667;3.75972222222222;9.57777777777778;7.20833333333333;17.7;41.9333333333333;33.4;;;9.35046296296296;1.96222222222222;15.8212962962963;22.5416666666667;12.1666666666667;36.1083333333333;13;2.3;2.425;11.1209116809117;16.3472222222222;7.91111111111111;2.62916666666667;10.1722222222222;10.7381944444444;7.36944444444444;7.40833333333333;11.5916666666667;8.57007797270955;10.6333333333333;;23.3935185185185;1.775;1.03333333333333;1.5;1.8;51.5;0.25;28.7979166666667;8.0837962962963;24.125;3.44166666666667;6.52732843137255;21.1166666666667;19.8833333333333;24.125;12.1333333333333;9.24166666666667;4.96108739837398;26.0583333333333;15.9083333333333;13.9375;22.2583333333333;7.9875;2.25310990338164;8.1;58.65;;17.5;0.25;5.425;10;18.2;1.625;7.05;17.1;12.1;10.6;12.8;24.65;6.5;20.3;8;24.6;35.5;43.6;;24.4;3.38333333333333;10.8833333333333;3.8;4.94166666666667;2.25833333333333;5.3;12.6;27.2916666666667;15.8;11.6;8.475;20.65;22.5;13.6666666666667;72.25;0.25;1.45;;;5.01666666666667;;7.01166666666667;25.9666666666667;20.275;;;;35.0083333333333;4.91666666666667;;14.0166666666667;67.7833333333333;19.6666666666667;131.95;31.1;;;48.7166666666667;17.2333333333333;7.02222222222222;40.9277777777778;5.84444444444444;49.475;3.36666666666667;2.8;7.09166666666667;;27.1;;;;;0.25;32.8;1.225;;52.4;88.9;4.975;7.25;105;27.3;41.75;20.9;51.2;1.75469501658026;23.4472222222222;24;52.2;35.6;;;;
FLUOGROE;5.09624183006536;5.68137254901961;10.95;7.70833333333333;0.9;;;25.148606271777;10.0751207729469;2.00833333333333;9.98611111111111;10.8268518518519;14.4083333333333;16.9472222222222;;;;;;11.7708333333333;38.9833333333333;;;;;7.45;19.6;;;30.6916666666667;47.7059523809524;;42.9625;;;38.2;337;2.92333333333333;34.5;;85.8;20.8;154;3.2807688958551;166;20.5;136;;13.6;96.8;35.1;41.4;;40.175;24.75;40;37;4.2;113.295833333333;298.366666666667;1.45833333333333;;75.7392857142857;34.4833333333333;21.2291666666667;19.4916666666667;0.872222222222222;0.25;0.763398692810457;78.93;11.5916666666667;21.7583333333333;33.95;71.3625;18.2666666666667;22.0134259259259;3.36666666666667;18.16875;;37.625;16.2;12.85;22.125;41.9666666666667;11.65;29.2666666666667;14.8104166666667;2.31666666666667;25.875;3.4125;25.1208333333333;14.5333333333333;26.0472222222222;;;27.79;21.8;82.3;;40.6;3.48333333333333;30.65;190.616666666667;45.45;;63.3166666666667;7.61666666666667;6.84;;;;13.5;69.1;28.7694444444444;9.7;33.9777777777778;29.35;10.7527777777778;21.3777777777778;9.62222222222222;7.21;1.36666666666667;38.1833333333333;6.14166666666667;4.71111111111111;0.543571428571429;8.16666666666667;12.0277777777778;16.0472222222222;13.2875;40.8;58.8666666666667;44.1;;;15.6805555555556;3.39611111111111;26.7305555555556;29.5708333333333;23.875;13.375;11.9;20.1;10.8916666666667;13.1776923076923;21.3513888888889;14.8222222222222;4.26666666666667;13.85;13.9479166666667;19.5944444444444;13.0444444444444;17.4777777777778;16.5522417153996;24.2166666666667;;22.3666666666667;2.68055555555556;0.85;4.2;16.1;13.9;10;23.74375;15.0518518518519;62.45;8.1125;30.5770424836601;57.2333333333333;23.8333333333333;67.675;16.2;10.7277777777778;4.56429878048781;33.0444444444444;20.7777777777778;26.4375;94.5777777777778;16.7833333333333;4.28837560386473;17.5;40.8;;29.6;0.25;2.83333333333333;8.3;16.5;9.625;14.5;16.8;21.3;26.2;22.05;26.65;22.4;19.4;14;14.7333333333333;16.0666666666667;17.8;;12;5.13333333333333;14.1166666666667;3;3.15833333333333;7.01666666666667;8.3;15.5;10.6541666666667;29.8;32.5666666666667;13.9583333333333;33.6111111111111;7.46666666666667;8.29166666666667;116.3;5.9;1.65;;;2.975;;7.67722222222222;15.3875;9.525;;;;15.85;5.05;;14.8916666666667;2.61666666666667;7.73333333333333;228.5;14.1;;;33.175;36.4;8.58796296296296;19.5833333333333;4.825;3.18333333333333;2.94166666666667;0.25;20.6166666666667;;6;;;;;9.2;28.8333333333333;6.85;;19.3;534;33.9;40.5;29.3;94.1;23.55;20.95;22.1;0.649012189995797;13.9694444444444;38.1;15.8;19.2;;;;
FLUOHUM;3.01486928104575;5.41078431372549;6.4;4.61666666666667;2.6;;;4.69088269454123;5.31092995169082;2.62916666666667;4.60185185185185;5.84074074074074;7.14166666666667;4.85555555555556;;;;;;4.625;6.75;;;;;2.5;3.1;;;7.02083333333333;10;;7.95625;;;0.125;0.125;3.22777777777778;4;;4.2;7.6;8.3;2.58850139324277;29.2;8.4;8.6;;19;23.9;5.4;18.1;;8.375;4.85;6.6;5.6;4.4;12.89375;36.1;8.95;;10.25;12.6354166666667;6.27083333333333;7.50555555555556;4.86111111111111;2.86666666666667;2.61265172735761;7.80454545454545;5.475;7.31666666666667;7.984375;6.46041666666667;9.35;7.86851851851852;6.2;5.2625;;10.4416666666667;7.56666666666667;8.1;9.075;12.5;9.96666666666667;8.31666666666667;6.33541666666667;5.71666666666667;8.6375;7.125;3.18333333333333;4.48333333333333;4.65625;;;5.645;4;14.6;;7.65;8.66666666666667;7.31666666666667;7.83333333333333;7.01666666666667;;8.7;8.28333333333333;3.18;;;;4.7;8.9;3.05555555555556;6.2;2.86666666666667;3.34444444444444;4.97222222222222;5.43402777777778;5.83333333333333;6.66;4.36666666666667;6.77083333333333;6.975;6.73333333333333;1.4347619047619;10.7666666666667;2.88888888888889;4.00277777777778;5.81875;6.3;1.73333333333333;3.4;;;4.47592592592593;1.74138888888889;2.76592592592593;3.7375;4.95;3.49166666666667;4.5;5.3;5.83333333333333;3.73302706552707;5.25555555555556;5.04444444444444;5.63333333333333;3.32777777777778;3.39930555555556;4.08888888888889;4.51666666666667;4.27777777777778;3.96754385964912;6.01666666666667;;10.1222222222222;3.73333333333333;1.925;3;5;0.125;13.7;5.62916666666667;3.725;5.58125;1.86875;3.1203635620915;18.1833333333333;5.0875;3.73125;4.86666666666667;2.95;1.73119918699187;4.13333333333333;5.95;7.04166666666667;16.9583333333333;4.59166666666667;4.32246376811594;4.7;3.55;;0.9;2.6;1.45833333333333;6;5.5;4.15;6.2;3.9;7.1;2.6;6.35;6.95;4.05;4.4;7.4;8.26666666666667;5.36666666666667;7.1;;6.2;8.41666666666667;7.5;5.9;5.76666666666667;4.75;8.8;9;5.36666666666667;0.125;3.23055555555556;5.825;4.27777777777778;5.98333333333333;4.05;2.3125;2.4;3.2;;;7.38333333333333;;2.38555555555556;2.89166666666667;7.51666666666667;;;;4.1875;3.15;;5;8.33333333333333;3.85;9.91666666666667;7.1;;;9.35;7.78333333333333;6.5;5.80833333333333;6.67222222222222;3.86666666666667;3.58333333333333;3.6;7;;4.7;;;;;3.4;4.66666666666667;5.3;;7.5;12.8;5.2;7.1;4.3;18.9;4.65;4.3;5.8;3.41001004156742;5.67222222222222;7.4;7.2;5.4;;;;
FLUOTOT;12.7114379084967;16.3774509803922;25.8166666666667;19.2083333333333;3.75;;;43.0408246225319;22.5100845410628;8.45;37.462962962963;26.1888888888889;35.65;40.0888888888889;;;;;;31.3416666666667;104.916666666667;;;;;12.05;47;;;61.4;206.820238095238;;92.6;;;207;610;5.72833333333333;102;;118;50.7;376;10.2377873563218;237;39.4;227;;39.9;312;73.9;180;;104.708333333333;56.1;71.9;94.2;7.8;148.745833333333;339.866666666667;7.50833333333333;;105.807142857143;86.6416666666667;42.7625;39.4;4.54444444444444;1.44722222222222;2.09145658263305;144.161363636364;20.4916666666667;36.8;52.8916666666667;92.5833333333333;40.1333333333333;44.2768518518519;10.3166666666667;39.3958333333333;;56.3916666666667;44.45;30.7166666666667;44.5583333333333;75.5666666666667;31.6;70.1166666666667;30.7666666666667;5.31666666666667;133.183333333333;6.45833333333333;41.6541666666667;26.5777777777778;34.7310185185185;;;52.28;43;203;;81.1666666666667;9.2;80.3333333333333;290.883333333333;101.2;;123.566666666667;17.85;21.94;;;;25.6;72.3;35.5333333333333;28.9;42.2555555555556;39.7833333333333;16.4888888888889;102.872222222222;19.4944444444444;14;3.58333333333333;79.25;19.5166666666667;12.7833333333333;14.3033333333333;12.9166666666667;18.4861111111111;27.3861111111111;26.7083333333333;67.6;104.533333333333;80.3;;;27.8703703703704;12.1322222222222;56.7274074074074;59.525;50.4333333333333;53.1791666666667;27.8;25;15.4666666666667;46.024594017094;46.2777777777778;29.9333333333333;9.9;45.4833333333333;42.6847222222222;40.9277777777778;24.1611111111111;33.8222222222222;46.1566276803119;48.4333333333333;;50.1407407407407;6.01666666666667;2.35833333333333;7.9;27.4;81.9;15.8;60.6166666666667;32.3675925925926;92.775;17.1166666666667;56.1917483660131;83.6666666666667;46.7333333333333;104.608333333333;31.9333333333333;23.6611111111111;11.1578658536585;68.1444444444444;66.8444444444444;73.925;146.661111111111;41.75;7.91213768115942;28.1;116.3;;47.1;3;14.2583333333333;24.35;34.8;13.5;21.65;33.9;47.3;38.7;45.05;66.2;51.75;53.7;44.5;42.2333333333333;57.3333333333333;76.5;;44.6;10.2333333333333;28.75;7.2;9.3;10.7166666666667;13.7;28.1;45.8;45.6;65.9333333333333;27.9333333333333;64.5222222222222;30.3333333333333;26.9833333333333;193.9;6.7;4.3;;;9.86666666666667;;17.4544444444444;43.025;33.75;;;;56.6833333333333;20.2;;39.4333333333333;76.1166666666667;29.05;405.15;48.7;;;85.85;63.5666666666667;18.9472222222222;62.5055555555556;14.9944444444444;57.5333333333333;9.15;6.3;38.2166666666667;;34.8;;;;;15.7;72.5666666666667;11.3;;83.2;622;66.2;53.3;138;166;66.4;43.3;74;10.9410536640045;41.6833333333333;79;69.1;54.8;;;;
FLZN;3.035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FNXCB;7.05333333333333;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
folpt;10.4341666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FORT;1.23833333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FTLNL;3.23333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
