CODE;BUITENGEBRUIKDATUM;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;OPMERKING;MOTIVATIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
GWV651;;2010_Waterproef-Groot Wilnis Vinkeveen-116;NL11;;;;123977;466326;;;lijnvormig;;;;MACFTEM_MACFTGBD;MACFTEM;Evaluatie_KRW;Evaluatie;HYBI;HYBI;Veen;47;2505-EAG-1;
GWV652;;2010_Waterproef-Groot Wilnis Vinkeveen-117;NL11;;;;123934;466178;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV653;;2010_Waterproef-Groot Wilnis Vinkeveen-118;NL11;;;;123938;465847;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV654;;2010_Waterproef-Groot Wilnis Vinkeveen-119;NL11;;;;123765;465929;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV655;;2010_Waterproef-Groot Wilnis Vinkeveen-120;NL11;;;;124061;465857;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV656;;2010_Waterproef-Groot Wilnis Vinkeveen-121;NL11;;;;122742;465583;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV657;;2010_Waterproef-Groot Wilnis Vinkeveen-122;NL11;;;;123047;465233;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV658;;2010_Waterproef-Groot Wilnis Vinkeveen-123;NL11;;;;124002;465427;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2510-EAG-1;NL11_2_11
GWV659;;2010_Waterproef-Groot Wilnis Vinkeveen-124;NL11;;;;123767;465136;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2510-EAG-1;NL11_2_11
GWV660;;2010_Waterproef-Groot Wilnis Vinkeveen-125;NL11;;;;123896;466319;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV661;;2010_Waterproef-Groot Wilnis Vinkeveen-126;NL11;;;;123537;466416;;;lijnvormig;;;;DIEPTE-FYCHEM_FYTOPLANKTONABUNDANTIE_MACFTEM_MACFTGBD;;Evaluatie_KRW;;FYCHEM_HYBI;;Veen;47;2502-EAG-1;
GWV662;;2010_Waterproef-Groot Wilnis Vinkeveen-127;NL11;;;;123624;466503;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV663;;2010_Waterproef-Groot Wilnis Vinkeveen-128;NL11;;;;123338;466453;;;lijnvormig;;;;MACFTEM_MACFTGBD;;Evaluatie_KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV664;;2010_Waterproef-Groot Wilnis Vinkeveen-129;NL11;;;;123391;466115;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV665;;2010_Waterproef-Groot Wilnis Vinkeveen-130;NL11;;;;123202;466250;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV666;;2010_Waterproef-Groot Wilnis Vinkeveen-131;NL11;;;;123115;466502;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
GWV667;;2010_Waterproef-Groot Wilnis Vinkeveen-132;NL11;;;;122367;467398;;;lijnvormig;;;;MACFTGBD;;KRW;;HYBI;;Veen;47;2502-EAG-1;
