GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRW_SGBP3_NAAM;OPMERKING;opmerking;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver?;StedelijkLandelijk;Oppervlak_bestand RUTH;Verschil;Oppervlak_Stefan;Verschil_stefan
2350-EAG-1;Venserpolder (volkstuinpark Amstelglorie), Venserpolder (volkstuinpark Amstelglorie);20160428;;;;;;KRW Overig water;EJ: stedelijk;287612.6223;28595.15446;259017.4678;12395.21721;0;0;0;29050.75;228746.6875;29821.875;0.10100417;;M1a;WBP 2016-2021;sloot;vijver;Stedelijk;268543;-19069.62;287619.31;6.69
2370-EAG-1;Gemeenschapspolder West (Betlem), Gemeenschapspolder West (Betlem);20160428;;;;;;KRW Overig water;;396159.4822;35389.49541;360769.9868;11867.64271;0;0;0;116061.5;244479.875;35625.875;0.292960864;;M8;WBP 2016-2021;sloot;;Landelijk;397967;1807.52;396167.25;7.77
2380-EAG-1;Honderdsche polder west, Honderdsche polder west;20170404;;;;;;KRW Overig water;;1018056.456;48962.75146;969093.7043;34806.97943;0;0;0;55684;911394.9375;50979.875;0.054696251;;M1a;WBP 2016-2021;sloot;;Landelijk;1025451;7394.54;1018058.81;2.35
2400-EAG-1;Polder de Rondehoep, bemalen gebied;20170208;;NL11_2_5;NL11_2_5;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;klopt niet KRW oud, anders geen eag, ook watertype aangepast;3081245.95;192635.8302;2888610.119;114090.3702;0;0;0;98872.6875;2714063.188;157211.0625;0.03328882;;M10;WBP 2016-2021;sloot;;Landelijk;3081183;-62.95;2970146.94;-111099.01
2400-EAG-2;Polder de Rondehoep, zuid-west;20170208;;;NL11_2_5;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;;3336778.35;240136.935;3096641.415;136020.476;0;0;0;96702.8125;2992018.188;248102.4375;0.0289805;;M8;WBP 2016-2021;sloot;;Landelijk;3336778;-0.35;3336823.44;45.09
2400-EAG-3;Polder de Rondehoep, noord-west;20170208;;;NL11_2_5;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;;1824655.591;117457.7223;1707197.869;68903.93529;0;0;0;108496.5;1595788.5;120399.3125;0.059460422;;M8;WBP 2016-2021;sloot;;Landelijk;1824656;0.41;1824684.31;28.72
2400-EAG-4;Polder de Rondehoep, noord-oost;20170208;;;NL11_2_5;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;;2303369.279;133862.3617;2169506.918;78916.09175;0;0;0;69736.3125;2048807;114658.75;0.03122705;;M8;WBP 2016-2021;sloot;;Landelijk;2303369;-0.28;2233202.06;-70167.22
2400-EAG-5;Polder de Rondehoep, weidevogel gebied;20170208;;;NL11_2_5;NL11_VaartenRondeHoep;Vaarten Ronde Hoep;KRW Waterlichaam;;1424930.696;167971.7798;1256958.916;50289.2284;0;0;0;2.5;1242516.5;166007.9375;1.77E-06;;M8;WBP 2016-2021;sloot;;Landelijk;1424994;63.3;1408526.94;-16403.76
2400-EAG-6;Polder de Rondehoep,Ouderkerk aan de Amstel;20170208;;;;;;KRW Overig water;;720604.4841;47771.27958;672833.2045;17248.51601;0;0;0;348441.875;323901;48273.5;0.483533107;;M8;WBP 2016-2021;sloot;;Stedelijk;720604;-0.48;720616.38;11.9
2400-EAG-7;Polder de Rondehoep, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_5;;NL11_VaartenRondeHoep;;KRW Waterlichaam;vervallen in EAG 20191205;129602;39808;89794;9024;0;0;0;2644.625;86814.8125;40145.3125;0.020405309;;M10;WBP 2016-2021;sloot;;Landelijk;0;-129602;129604.75;2.75
