GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
4140-EAG-5;Keverdijkse Overscheense Polder, Stadzicht;20170130;;;;;;;;KRW Overig water;;M1a;20180216_WSABufferzoneNaardermeerDeel1;sloot;;Landelijk;overig;115848;4112;111736;3990;;;;1941;109624;4347;4;0.016071398
4200-EAG-1;Heintjesrak- en Broekerpolder, nabij Faunapassage;20170116;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;199109;8590;190519;6678;;;;17317;173186;8696;4;0.013878744
4200-EAG-2;Heintjesrak- en Broekerpolder, Broekerpolder;20170116;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;1271905;49650;1222255;41053;;;;42722;1149927;47003;4;0.005427686
4200-EAG-3;Heintjesrak- en Broekerpolder, Heintjesrakpolder;20170116;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;hoge_potentie_lb;842477;31736;810741;29494;;;;34567;807864;32241;4;0.006040076
4210-EAG-1;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder bemalen;20160428;;NL11_6_2;NL11_6_2;NL11_HollandsAnkeveen;NL11_HollandsAnkeveense;NL11_HollandsAnkeveen;Hollands Ankeveense plassen;KRW Waterlichaam;Hollandsch Ankeveensche Plas;M27;WBP 2016-2021;plas;;Landelijk;overig;100167;26696;73471;3543;;;;13228;59911;27026;27;0.046116033
4210-EAG-2;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP noord;20160428;;NL11_6_2;NL11_6_2;NL11_HollandsAnkeveen;NL11_HollandsAnkeveense;NL11_HollandsAnkeveen;Hollands Ankeveense plassen;KRW Waterlichaam;Hollandsch Ankeveensche Plas;M27;WBP 2016-2021;plas;;Landelijk;overig;562462;193377;369085;17706;17597;140042;0;13393;500596;201651;34;0.024836017
4210-EAG-3;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP zuid;20160428;;NL11_6_2;NL11_6_2;NL11_HollandsAnkeveen;NL11_HollandsAnkeveense;NL11_HollandsAnkeveen;Hollands Ankeveense plassen;KRW Waterlichaam;Hollandsch Ankeveensche Plas;M27;WBP 2016-2021;plas;;Landelijk;overig;1186445;723309;463136;26736;19727;669595;0;7786;454772;723897;61;0.031810134
4210-EAG-4;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder oost;20160428;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;aandachtsgebied;1667060;256377;1410683;64807;;;;217272;1187565;262244;15;0.007812996
4210-EAG-5;Hollands Ankeveensche Polder, Ankeveense Plassen HAP oost;20160428;;NL11_6_2;NL11_6_2;NL11_HollandsAnkeveen;NL11_HollandsAnkeveense;NL11_HollandsAnkeveen;Hollands Ankeveense plassen;KRW Waterlichaam;Hollandsch Ankeveensche Plas;M27;WBP 2016-2021;plas;;Landelijk;overig;242786;98225;144561;10071;12519;82493;0;12232;131341;99216;40;0.031119916
4210-EAG-6;Hollands Ankeveensche Polder, Peilgebied 24-4;20191122;;;;;;;;KRW Overig water;;M8;;sloot;;Landelijk;overig;153160;6652;146508;5243;;;;;;;4;0.01555594
4230-EAG-1;Hilversumse Ondermeent, Hilversumse Ondermeent;20160726;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;aandachtsgebied;1277624;52813;1224812;37461;;;;30145;1192447;55051;4;0.006134668
