ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
39;71359;NL11;91128;Uitvoeren beschermingsmaatregelen voor behoud natuurvriendelijke oevers;;SGBP1 2009-2015;2009-2015;RO09;Een set van maatregelen om schade aan oevers door vaarbewegingen boten te beperken;WB;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=120000.00|Investering per planperiode=487500.00;0;0;1;0;0;0;ESF4;uitgevoerd;intern onderhoud en beheer;;;180.4977619;;?;;;;1;Vecht;2016;LM_20190916;Vecht;;;
40;71361;NL11;91132;Aanleggen schuilplaatsen voor Snoek (buizen);;SGBP1 2009-2015;2009-2015;IN17;De maatregel betreft het aanleggen van voldoende paai- en rustlocaties voor Snoek.;WB;NL11_1_2;1;ha;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=60938.00;0;0;0;0;1;0;ESF4;opzoeken/afvoeren;NVT;;;180.4977619;;1;ha;;;1;Vecht;nvt;LM_20190916;Vecht;;;
41;71362;NL11;91133;Onderzoeken aanpassen spuiregime Muiden;;SGBP1 2009-2015;2009-2015;S01;Een onderzoek naar de mogelijkheden om het spuiregime bij Muiden aan te passen. Dit blijkt niet zinvol;WB;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=120000.00;0;0;1;0;0;0;NVT;uitgevoerd;geen;;;180.4977619;;;;;;1;Vecht;2016;LM_20190916;Vecht;;;
42;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_1_2;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;180.4977619;;27.07466429;ha;;;1;Vecht;2016;LM_20190916;Vecht;;;
43;71357;NL11;91124;Realiseren P-reductie rwzi Horstermeer (autonoom);;SGBP1 2009-2015;2009-2015;IM01;Het gaat om het realiseren van maatregelen om de rwzi aan de wettelijke lozingseisen te laten voldoen;MW;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=10500000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;geen;;;180.4977619;al verdisconteerd in modellen 2019;0;mg/m2/dag;;;1;Vecht;2016;LM_20190916;Vecht;;;
44;76564;NL11;NL11_0157;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;;SGBP1 2009-2015;2009-2015;IN15;Bij zeesluis Muiden is het beheer aangepast zodat vis tijdens de trekperiode kan passeren.;MW;NL11_1_2;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF5;uitgevoerd;intern onderhoud en beheer;;;180.4977619;;;;0;;1;Vecht;2016;LM_20190916;Vecht;;;
45;76562;NL11;NL11_0148;Verdergaande P-reductie rwzi Maarssen (na evaluatie);p;SGBP2 2015-2021;2015-2021;IM01;De RWZI is sinds juli 2019 geamoveerd en loost niet meer op de Vecht.;WB;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;opzoeken;opzoeken;;;180.4977619;;0.79;mg/m2/dag;;;1;Vecht;2021;LM_20190916;Vecht;Reductie vracht Maarssen, eventueel helemaal verwijderen, inclusief debiet.;reductie;reductie debiet, toename verblijftijd
46;76576;NL11;V-xx;Beperken fosfaatbelasting rwzi Utrecht (autonoom);p;SGBP2 2015-2021;2015-2021;IM01;Deze maatregel wordt genomen in waterlichaam Vecht, maar heeft ook een positief effect voor Molenpolder en Tienhoven en Wijde Blik. ;MW;NL11_1_2;1;n;j;HDSR;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;opzoeken;opzoeken;;;180.4977619;;6;mg/m2/dag;;;1;Vecht;2021;LM_20190916;Vecht;;;
47;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;p;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;180.4977619;0;0;mg/m2/dag;;;1;Vecht;2021;LM_20190916;Vecht;;;
48;76517;NL11;91009;Aanpassen RWZI Horstermeer (kwaliteit effluent verdergaand verbeteren na evaluatie);p;SGBP2 2015-2021;2015-2021;IM01;;MW;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;geen;;;180.4977619;;?;mg/m2/dag;;;1;Vecht;2018;LM_20190916;Vecht;Reductie toepassen op RWZI Horstermeer (afvangen zout???);;
